brand,model,img_url,2014_jan,2014_feb,2014_mar,2014_apr,2014_may,2014_jun,2014_jul,2014_aug,2014_sep,2014_oct,2014_nov ,2014_dec,2015_jan,2015_feb,2015_mar,2015_apr,2015_may,2015_jun,2015_jul,2015_aug,2015_sep,2015_oct,2015_nov ,2015_dec,2016_jan,2016_feb,2016_mar,2016_apr,2016_may,2016_jun,2016_jul,2016_aug,2016_sep,2016_oct,2016_nov ,2016_dec,2017_jan,2017_feb,2017_mar,2017_apr,2017_may,2017_jun,2017_jul,2017_aug,2017_sep,2017_oct,2017_nov ,2017_dec
Apple,iPhone 6s,https://cdn.gsmarena.com/imgroot//reviews/15/apple-iphone-6s/gal/-1024x768w1/gsmarena_001.jpg,14167,5211,11814,13579,9179,9903,7487,9448,12246,13917,6512,7553,11389,6223,14635,10783,13474,5848,8934,12306,13739,5224,9044,10530,10444,13249,14558,11764,7917,11063,6487,12585,12878,8020,14836,9955,9945,12306,12427,12472,14587,7166,5024,10146,13590,6253,7738,6990
Apple,iPad mini 4,https://cdn2.gsmarena.com/vv/pics/apple/apple-ipad-mini-4-0.jpg,5156,7141,9569,14912,8380,10246,14456,7742,7713,5339,8126,5507,9719,13742,5160,14446,10340,10674,13199,5175,11109,6266,8387,8584,9196,9333,5407,6667,8330,12395,14725,10329,11403,7567,12530,12223,12694,9748,7656,6677,11836,13126,9681,12663,7338,5288,11564,7870
Apple,iPad Air 2,https://cdn.gsmarena.com/vv/reviewsimg/apple-ipad-air-2/gal/gsmarena_005.jpg,11249,6919,7232,12699,9908,11876,5438,10086,8644,8290,14861,11253,6089,11421,11035,10515,5831,5469,10710,7235,9859,14544,14952,10916,13475,13935,10190,7313,8185,5064,6860,8138,5880,11106,8355,14560,6766,14045,5587,6299,14685,6522,7354,11160,5144,9010,13366,10613
Apple,iPad mini 3,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-6-plus-4.jpg,12575,7975,6684,9991,14614,14089,14441,14153,13778,12756,13785,5235,11170,10654,13538,9626,7223,14916,10802,6369,12175,10998,9203,5668,8532,5397,12240,5192,7211,6796,7336,8736,14184,10522,5871,10651,6737,13389,14501,13228,8581,13749,13439,7465,13164,7236,8789,11275
Apple,iPhone 6 Plus,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-6-plus-4.jpg,10505,11281,7612,11390,14324,5084,5286,6547,5900,7297,13059,9998,5249,6245,13612,14001,5402,11462,7145,11483,13384,12388,11400,9817,8205,10435,9206,7801,6954,9076,12961,8064,10951,7101,8860,14239,13649,7665,8247,13843,6228,9871,14312,5318,5648,12497,8433,7447
Apple,iPhone 6,https://cdn.gsmarena.com/vv/reviewsimg/apple-iphone-6/gal/gsmarena_001.jpg,11982,5535,10385,13992,7312,13161,14189,10233,11249,6128,5579,10309,8817,9633,11875,5396,14387,9677,9715,12202,5140,12123,8844,9018,7018,9522,8763,9857,14426,6990,14190,10880,6157,14548,11321,14441,8407,8634,13789,9227,6043,13822,9598,9071,14038,8468,5208,10464
Apple,iPad Air,https://cdn2.gsmarena.com/vv/pics/apple/apple-ipad-air-3.jpg,8743,10596,9479,10107,7028,12798,5181,13074,7389,9624,10134,7617,10380,5467,9120,7008,14379,12278,5163,8768,8945,8122,9313,9251,6821,13018,5719,5739,6165,5027,14833,8505,10423,12851,13515,10622,10978,10282,7777,5176,10660,11912,14570,9962,14318,12274,5349,6796
Apple,iPad mini 2,https://cdn.gsmarena.com/vv/reviewsimg/apple-ipad-mini-2/gal/gsmarena_005.jpg,8805,14191,5944,11759,11962,10099,10027,14793,8880,13453,5214,7346,11152,5996,12721,7981,12041,11206,5964,10133,10567,5032,5916,8636,10536,14110,10524,12880,9051,10623,9918,12981,14941,6609,8301,13558,6563,7394,13036,11641,12633,14911,12038,14983,12885,10784,10243,5157
Apple,iPhone 5s,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-5s-2.jpg,14935,13794,5570,12844,13125,9257,13785,12071,6969,14427,10679,7825,11213,7649,6857,13585,13831,6115,10231,6864,5669,7981,7125,14342,6400,5928,5461,9759,6021,11128,14398,6297,10955,7467,7684,11004,8989,11793,9107,6782,12142,12402,8092,10359,7379,13287,10846,12937
Apple,iPhone 5c,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-5c-colors.jpg,11829,9696,14552,10811,5844,10967,11055,14465,7604,10953,7481,8873,11010,7658,14086,14508,10215,5923,13034,11048,13851,6114,8760,5356,11789,9485,14918,13704,6130,13177,8573,5378,7227,10461,5599,12315,7771,12679,12468,10699,11305,9710,14651,5082,14702,12412,6909,6446
Apple,iPhone 5,https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5-ofic.jpg,11978,11219,5290,11700,13359,7446,13458,7132,11588,8057,12816,6233,12457,8136,14917,5224,6416,6432,14936,10148,8335,14295,5815,14906,13854,12818,9563,13247,14725,11869,11455,7578,12373,12684,11378,5143,7922,6003,9600,11580,8864,14733,14898,9139,11998,9298,10194,10051
Apple,iPhone 4s,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-4s-side-view.jpg,8516,13802,7685,7363,8440,7945,7952,10807,14564,5878,12235,12006,5993,10236,9160,11645,11567,10750,14463,10188,10199,6476,12471,7693,9425,14137,13212,13031,10485,9460,8421,6930,10673,9399,11327,7452,12255,9468,8056,14406,11147,5553,13284,7234,10401,13696,9007,9362
Apple,iPhone 4,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-4-ofic-2.jpg,14066,7477,13415,8093,11423,13048,5177,11681,5529,14087,6828,5359,12908,14691,10507,7179,5321,8655,14069,12611,5247,14699,14224,11996,5279,8875,14604,11516,10674,14857,11846,5740,6747,12994,7975,9085,11691,8770,12731,5889,12118,8532,11894,12310,10340,10735,12436,8220
Apple,iPhone 3GS,https://cdn.gsmarena.com/vv/reviewsimg/apple-iphone-3gs/gal/gsmarena_002.jpg,8285,13426,14147,12647,13797,11828,13755,5065,10431,11358,12777,6011,6729,12001,8817,10835,11183,5699,14383,7203,6790,14362,6251,9666,5476,9419,8672,11610,14943,7884,5419,6154,13867,6903,9617,9950,5258,12507,5765,13912,13547,9731,10559,6250,9000,12650,9990,5695
Apple,iPhone 3G,https://cdn2.gsmarena.com/vv/bigpic/apple-iphone3g.jpg,9465,14082,14395,9134,8495,10877,14452,8221,13096,8777,10151,10806,12539,11916,12378,10768,6967,9355,10672,14525,8990,5867,14649,7250,9630,6754,8784,7298,9632,12141,9223,5348,13302,6606,7533,13809,10150,9619,12261,9035,14698,9554,8580,12590,6657,7285,8680,7689
Coolpad,Cool1 dual,https://cdn2.gsmarena.com/vv/pics/leeco/leeco-cool1-dual-4.jpg,6138,5648,7532,11363,8720,5233,7269,8049,14001,5376,14163,10350,8714,13585,13443,9821,10900,7497,12934,9235,9065,7418,14653,13064,7530,5392,12462,11596,7384,8117,5453,5939,7315,8595,7960,8679,5992,14411,9556,14657,6928,5416,12293,10070,6991,9400,12543,13570
Coolpad,Conjr,https://cdn2.gsmarena.com/vv/bigpic/coolpad-conjr.jpg,11405,13340,7500,10949,11016,6730,5474,10126,8080,9225,14582,5321,12876,13856,11638,12299,7747,5608,8046,12323,11688,9380,14989,7946,9612,13615,7643,5324,10536,14692,8913,7941,10012,10884,12269,11788,11953,6800,5790,9203,13373,13062,12999,8256,9873,12250,13768,12402
Coolpad,Cool S1,https://cdn2.gsmarena.com/vv/bigpic/coolpad-cool-s1.jpg,6255,7167,9288,5811,14914,12156,12919,6881,14922,6457,13678,9864,10141,8964,7189,14341,14037,5683,13596,5221,9614,11921,10772,12386,12581,9974,13541,10439,12161,7303,10513,10780,7504,5335,6040,6370,6018,14189,10592,12482,8849,10123,6640,14665,5902,13981,12361,8918
Coolpad,Note 3s,https://cdn2.gsmarena.com/vv/pics/coolpad/coolpad-note-3s-2.jpg,14276,6606,9836,7131,14536,7086,6654,14362,7221,11791,7297,9819,6855,14669,11093,7202,7378,7307,10139,7277,10531,12675,8314,12606,10037,13754,12508,6541,8089,10362,14359,6862,13725,5518,10304,9274,6031,14631,6420,9927,10338,11048,8793,8141,5970,6494,8799,10875
Coolpad,Mega 3,https://cdn2.gsmarena.com/vv/bigpic/coolpad-mega3.jpg,10591,13565,7358,12229,13742,13045,14263,14696,14927,8985,9022,9492,5208,14661,7044,6322,8289,9430,7157,9201,12890,6094,13940,5060,6288,14098,6795,13875,9428,9812,5872,5815,11555,6918,12994,13624,9961,10363,12525,10844,14565,5460,13642,7261,12397,11473,9202,9554
Coolpad,Note 5,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-5.jpg,5169,6791,14789,6851,10727,12025,5119,11067,6638,14992,11236,14883,12224,14434,8044,11023,8453,14572,12281,13759,5804,7494,13692,10285,14112,5411,11055,9395,12210,10915,10768,5273,5598,7537,5719,12899,10767,12364,6580,6587,5744,12772,6071,6610,7873,12156,11023,11085
Coolpad,Modena 2,https://cdn2.gsmarena.com/vv/bigpic/coolpad-modena2.jpg,13626,12245,11772,14468,8632,11089,14919,14172,7227,8371,6705,12804,11534,14396,7684,11740,5744,13220,12041,13839,5872,6390,6472,8333,6261,11448,12943,7268,6634,11265,7110,13823,13404,14771,8861,10809,9651,7249,5732,6661,5867,9260,11457,12682,5883,7043,6476,10866
Coolpad,Mega,https://cdn2.gsmarena.com/vv/bigpic/coolpad-mega.jpg,12959,10389,13449,10754,9066,13526,10083,12257,9274,10579,6844,6364,13443,11625,8445,13214,5523,9889,13357,9492,9662,8294,7949,14859,14620,7917,6819,8855,12803,12291,11878,9308,6826,13296,11978,8653,5845,14563,8319,11198,6826,13843,9565,6504,12264,13201,5896,14535
Coolpad,Torino,https://cdn2.gsmarena.com/vv/bigpic/coolpad-torino.jpg,10785,11460,12020,14466,12984,14941,12619,10786,14782,13074,14498,13589,5616,14455,9007,6446,7168,8313,7577,8218,12510,5235,6134,5034,5338,14258,13765,13900,9490,8116,11495,8588,6994,8496,14253,7882,6399,12969,11250,8659,5111,5297,10509,11294,11018,9065,5345,7997
Coolpad,Note 3 Plus,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-3-plus.jpg,14717,11286,13602,6867,12795,7652,6606,10000,5373,12955,11257,10125,8462,9001,11203,14568,7040,5325,5300,14954,8298,6318,11596,10230,12935,12932,10860,10868,11877,12000,13468,9912,14351,7135,5338,12181,9139,12583,14873,5968,11980,9034,6720,5152,10609,10060,7290,12597
Coolpad,Max,https://cdn2.gsmarena.com/vv/bigpic/coolpad-max.jpg,13418,6639,14370,8250,7510,14148,10039,11113,5631,12374,7227,12588,11980,9277,11137,7927,5150,10646,9129,13883,7682,11532,14471,11769,6167,14952,14797,7776,13238,7165,9736,9260,7281,5491,7954,10645,7998,7248,11072,14800,12266,14915,7727,10898,5194,13784,12917,13984
Coolpad,Porto S,https://cdn2.gsmarena.com/vv/bigpic/coolpad-porto-s.jpg,14994,9576,10377,8821,11102,10208,14871,6308,7486,8599,6588,12314,10207,6850,13369,13051,11284,9979,10681,6847,14187,8031,11190,10636,14025,12249,12280,10288,10929,9078,13976,11828,13045,5872,14639,13139,6983,12343,9053,5882,6938,7835,10465,12474,9624,10831,14215,7232
Coolpad,Torino S,https://cdn2.gsmarena.com/vv/bigpic/coolpad-torino-s.jpg,7078,12907,9485,5279,13750,5343,10343,5080,12909,9762,7698,10907,6494,14284,8643,7790,13004,14534,12220,13967,11152,7457,6045,13778,12272,5768,12468,10430,7951,9949,10784,6248,8779,6503,8051,8733,11676,10106,5135,7219,13518,13744,13983,10280,14603,10856,8064,11820
Coolpad,Note 3 Lite,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note3-lite.jpg,11390,7360,13962,10507,6171,13038,14890,13900,7548,8093,12482,8649,11417,14622,11959,8186,10577,12484,13473,13011,5175,10146,6104,8463,10718,12086,14794,12720,8844,10821,8063,12708,14339,5298,5330,9313,11039,7458,8936,7229,6143,11534,5210,14770,7503,7599,6235,9967
Coolpad,Roar,https://cdn2.gsmarena.com/vv/bigpic/coolpad-roar.jpg,8941,7504,12645,14803,6166,7147,12677,9550,9385,5923,7247,10611,11348,7237,9052,7205,13263,13157,8078,14381,8313,7417,9799,9256,9177,14009,10015,5245,9903,11050,12987,7343,7843,13612,14238,10486,6604,6560,13059,13110,11257,11217,10146,9166,13198,14513,10043,7812
Coolpad,Note 3,https://cdn2.gsmarena.com/vv/pics/coolpad/coolpad-note-3-3.jpg,13770,7755,10499,9211,6003,11100,13533,10537,8532,6244,9517,7930,11157,6867,6517,13181,6522,6266,8886,9598,9202,6475,5478,5218,5474,14292,8221,9603,13892,9714,6666,9069,14092,10652,8059,5190,9081,14678,13681,8656,10036,13998,9452,12737,8637,11151,12803,14770
Coolpad,Shine,https://cdn2.gsmarena.com/vv/bigpic/coolpad-shine.jpg,7351,5488,13975,12477,12905,12512,14417,5731,13337,10247,5469,13546,5674,6006,12700,14714,9868,8404,14541,6580,6683,11507,11434,14697,8545,7821,7967,9720,7821,6354,11036,10054,8515,9766,13474,11593,10987,6192,8284,10057,6671,12979,9846,14255,7184,5479,13992,10464
Coolpad,Modena,https://cdn2.gsmarena.com/vv/bigpic/coolpad-modena.jpg,13821,6907,8117,14332,14220,5929,14673,12551,5220,7947,12348,11804,13221,8725,7821,7236,11649,14269,9294,11521,6808,11638,10364,5767,5803,5668,12468,5385,9368,8468,5277,7231,14393,7214,10019,14501,12547,12390,11202,13372,12950,11949,12122,5022,13696,13756,5502,12072
Coolpad,Porto,https://www.gsmarena.com/coolpad_porto-pictures-7550.php,9668,11253,5442,12025,7208,6339,11818,5906,6789,8825,12111,9959,13334,6205,8093,7852,10981,10700,13611,8942,8195,6826,12069,11833,13152,10196,10141,8443,9675,13929,6467,9543,5812,7765,6321,10811,13380,9765,10793,12813,5228,7296,7912,9768,6878,7816,9646,10378
Intex,Aqua GenX,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg,11179,9164,5651,6453,12284,8916,8712,14904,14377,11860,7644,12741,12382,11748,5890,7346,9590,14494,14320,5036,13858,9059,10429,6044,13456,7913,6125,13171,14638,12892,9577,6324,12765,8548,11982,13919,5476,12799,8553,12612,10817,10826,9990,9054,9028,14445,12994,6603
Intex,Aqua Ace,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg,7427,6984,8613,9830,6811,6243,14230,5998,11767,7213,10843,11654,11253,8789,14024,14408,11797,13975,13893,10085,10065,13613,10622,11068,7136,5946,9285,9769,6649,10613,8615,11742,13643,6099,7794,11655,9409,7732,10329,13825,13941,6036,6143,11356,12907,5202,6760,9388
Intex,Aqua Trend,https://cdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg,6240,11164,12555,12123,8936,14353,5269,11295,6886,12991,10369,6585,8956,13529,5707,7817,14172,10363,6977,14052,11049,13336,12140,10248,12954,11554,10402,11023,8153,6417,7239,12251,5477,14109,13574,5142,8812,10938,10044,14877,6487,6142,8114,5600,9568,14959,13411,6414
Intex,IRist Smartwatch,https://cdn2.gsmarena.com/vv/bigpic/intex-watch.jpg,13502,13686,8094,5386,5754,9024,9462,11912,8105,10761,12477,5400,9358,11833,9757,11988,9176,10022,12240,12833,5698,13739,6839,5444,14286,5668,11114,7619,13555,9547,12273,12942,8364,7867,6968,13417,13589,13917,10612,8558,11776,11576,13826,13669,9113,6410,14350,6021
Intex,Aqua 4G+,https://cdn2.gsmarena.com/vv/pics/intex/intex-aqua-4g.jpg,8039,9072,7471,6137,7501,10946,6181,10177,10342,13796,5170,5526,14518,9352,5811,6501,10673,13852,9309,5091,11205,13003,14843,12265,5235,12853,7137,11098,5409,11936,8160,13057,6622,7851,14442,11572,14453,6235,9564,9215,12552,6031,12127,8293,11820,12783,6241,8844
Intex,Aqua Xtreme II,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg,9764,13758,5827,7986,5246,13254,12585,9193,8159,10371,10093,7385,10191,5239,10912,5393,14623,14332,10207,6462,13146,7200,14749,5133,5530,13149,14781,5820,6486,6392,5566,9540,13781,8092,5718,11033,10162,14459,12181,12152,11473,9105,12906,8565,10669,12722,9734,10905
Intex,Aqua Y2 Remote,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg,13387,14298,6318,6410,6725,8931,5551,8233,11519,7094,14764,8572,11659,12433,5324,6509,13596,5445,10337,8737,9848,5276,11611,14736,13126,12028,12538,14420,10799,12089,7345,7637,14431,14561,6364,5255,5985,6294,7299,10784,8362,7363,13832,8690,11061,10602,9884,13151
Intex,Aqua Star L,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg,9867,9078,14286,8916,8293,12872,5644,8332,5145,14357,9578,8374,13398,11104,5858,11077,11702,13903,7910,6562,8794,11952,5089,5084,11508,13327,9395,13030,10697,14364,5840,8291,8695,7071,6776,13774,9998,8550,10553,9017,11216,6333,12239,13886,9542,9415,9239,14601
Intex,Aqua Star 2,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star2.jpg,7922,6548,5894,11525,11672,5410,6055,14209,14724,9675,7365,12347,9343,5408,5677,5337,6718,14577,7095,8067,11870,9110,8559,14598,14428,11817,10637,9692,7497,7062,14659,13183,11026,7656,10341,14453,13811,12793,10402,10889,14121,7012,9431,11359,13110,10768,8879,5791
Intex,Aqua Speed,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-speed.jpg,9790,14312,10652,10656,8523,8767,13631,6071,13404,13217,5048,14734,13253,8044,12021,10108,5193,8333,8676,10895,13986,14833,14780,11120,6662,12087,6001,8150,10065,14314,7705,11004,6650,6445,11004,7349,6316,6870,9388,5922,9290,6613,13210,14497,12350,9185,14851,9920
Intex,Aqua Power,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-power.jpg,8566,7250,7557,9295,6019,13807,13480,11446,11758,6189,7813,8678,11818,12838,6558,11496,11227,8463,9660,6183,7874,11328,12803,14621,11828,11344,9877,11281,10763,14515,14656,9778,14163,7325,10392,14483,6330,12312,13949,5670,7335,10581,14632,8577,5541,6123,7999,9161
Intex,Aqua Power +,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-power-plus.jpg,6384,7478,7563,8808,6581,7214,14662,9160,13702,9211,8017,7278,13345,9916,8478,8576,5945,7033,11106,13593,9007,9769,14957,13155,7545,5971,10307,9237,7249,7485,5244,14736,6054,10998,6888,6540,10373,14661,8200,8260,12922,5598,8020,9863,8172,14121,12238,6540
Intex,Aqua 4.5E,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-45e.jpg,5261,12614,7198,14315,11119,14197,12091,6826,5051,14400,10603,13760,6121,7535,7735,10313,8102,6453,6234,6306,7308,12393,5393,11910,12793,5927,14531,12701,8314,12744,10599,8263,6562,10788,9658,14762,11850,13403,13459,5237,5536,13909,8111,5274,8865,6014,5109,5821
Intex,Jolla C,https://cdn2.gsmarena.com/vv/bigpic/jolla-c.jpg,9967,5284,11466,8828,6389,12196,11168,9207,11807,12495,12225,6471,12868,13591,14477,8754,8597,13306,6512,6832,7281,7470,12272,10666,13531,8617,5288,6954,11160,5094,8511,9520,14962,12252,11217,7409,14708,9713,8129,8111,7965,8510,13124,6740,12780,10356,12238,7376
Gionee,S10,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-s10-03.jpg,10816,14283,5378,5278,7346,9953,14486,7137,10434,13634,12958,11502,7876,11051,7718,13254,13161,11083,7635,13413,8870,10787,13095,9045,7576,14855,9523,7100,13676,9471,11782,10582,9862,8657,8827,5028,14344,7854,14966,12309,11851,10115,11975,8501,14829,11536,11629,9644
Gionee,S10B,https://cdn2.gsmarena.com/vv/bigpic/gionee-s10b.jpg,7992,11796,8287,5133,13169,12081,8220,14432,9131,13694,13939,13314,14065,8283,14143,11522,11267,11344,5371,6325,14166,10677,7596,12958,9338,9643,7576,11451,6561,12799,8101,10469,14206,12802,6373,12620,12624,5809,9289,14851,12805,13640,14115,13574,14827,9213,13120,11889
Gionee,S10C,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-s10c-3.jpg,8773,11847,13701,14539,10283,11585,11108,7263,8463,13248,6692,14835,14107,13683,12912,9958,7465,13183,6640,8314,13556,14287,9116,8270,10750,11214,6381,9747,6864,10561,12058,14973,12162,5997,14770,10451,11947,10792,8224,14729,7643,10298,12932,5203,6266,10323,5285,9495
Gionee,M6s Plus,https://cdn2.gsmarena.com/vv/bigpic/gionee-m6s-plus.jpg,11293,7392,10686,10956,5084,7905,10838,10017,6968,14829,8414,9841,8298,5250,12233,12767,14723,11272,6399,7502,9236,6889,9692,14410,10994,5863,10932,5785,11338,12138,11169,10478,10773,13887,6627,8098,11018,6827,10404,12662,14543,5593,6208,5333,12758,7956,12659,7244
Gionee,A1 Plus,https://cdn2.gsmarena.com/vv/bigpic/gionee-a1-.jpg,11055,9853,14921,7376,12305,14383,12896,13906,5052,10926,12418,10062,8557,7380,14345,12563,13418,11211,11901,6604,11086,6225,13875,10444,8972,14160,9658,6275,8478,11509,6318,10471,8152,8531,7369,9182,6737,10156,6127,8730,11161,5254,14100,12320,9933,12543,6405,12270
Gionee,A1,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-a1-4.jpg,9006,7286,14772,14330,9491,13579,8777,12816,12530,11295,5113,10803,12762,11987,11483,12940,11398,10696,5762,11277,11901,5347,7220,11738,7628,12732,7339,9347,12887,14501,11896,12169,10574,7829,13917,11203,13984,7992,14226,8673,14270,11693,10217,10744,14727,7113,9641,11255
Gionee,F5,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-f5-3.jpg,6057,11982,10832,5147,13414,5033,11618,7129,14093,10929,14641,8725,10231,6653,9575,9700,9732,14938,5524,14226,12306,5009,13882,9518,10748,9196,12411,7703,14279,8236,13692,6010,11935,6777,6762,8320,14937,10393,14014,11227,11490,7351,10261,6339,12647,10366,7816,5339
Gionee,M2017,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-m2017-4.jpg,5334,14166,7666,5516,8686,12246,11703,14182,10719,11241,10297,7148,11608,14170,12437,10989,14429,6283,8670,11126,12640,12192,12778,5522,5084,5114,9988,6576,6566,12013,10102,8952,7952,10890,10717,8952,12040,8297,11487,13720,7777,11862,9821,10322,13932,10880,6317,7968
Gionee,Steel 2,https://cdn2.gsmarena.com/vv/bigpic/gionee-steel-2.jpg,10717,8517,5244,8080,5011,10312,10110,9785,6637,7476,14525,9979,11119,10143,13707,6310,9873,5588,8320,6762,6356,7469,10844,8233,10981,11055,10907,14817,8214,5009,10629,5017,12362,7081,5199,13177,9864,5627,13990,14588,5042,14434,11984,10420,10502,5410,7442,14903
Gionee,P7,https://cdn2.gsmarena.com/vv/pics/gionee/gionee-p7-3.jpg,9521,8067,14203,10942,5073,12052,9415,13276,14914,13616,6739,5512,14479,8837,12887,7339,9880,11927,8008,14402,13376,12861,7565,8369,8636,5465,11438,5062,9136,8703,12089,14620,11594,8742,9449,7798,6773,11705,7358,8382,13561,8844,11402,10013,6027,14296,6935,7848
